id,title,status,loc.0,date,time,mins,desc,tags.0,tags.1,tags.2,people.0.id,people.0.name,people.1.id,people.1.name,people.2.id,people.2.name,people.3.id,people.3.name,people.4.id,people.4.name,140
32,Are You A Werewolf and Other Games!,,Observation Lounge (Golden Preconvene),2017-11-24,22:00,180,"Local gaming hotspot Game Paradise hosts four hours of social gaming. Come play ""Secret Hitler,"" ""Are You a Werewolf?"" and many others. Don't know how to play? No problem! Game Paradise's volunteer is happy to teach you.",Gaming,,,60,Game Paradise,,,,,,,,,
34,From Aesop to Asimov: Sci-Fi as the Modern Fable,,Guinan's Place (Brickyard),2017-11-25,10:00,60,"For millennia, whether spinning them before the communal fire or beaming them directly into a VR headset, storytellers have used myth to enlighten, to encourage and to educate. Today, the minds behind science fiction have taken up the mantle of the myth makers, finding creativie and nuanced ways to tackle the questions of ethics, pushing the limits of imaginations to communicate ideas of immediate importance.",Presentation,Humanities,,38,Mike Hargett,,,,,,,,,
114,KAG General Assembly,,tlhIngan rlvSo' (Intl Boardroom),2017-11-25,10:00,60,,Presentation,Klingon,,,,,,,,,,,,
33,Philosophical Themes of Science-Fiction,,Astrophysics (FS-D),2017-11-25,10:00,120,"This panel will focus on the various philosophical themes that arise in various sci-fi media, including Star Trek, Star Wars, Battlestar Galactica, the films of Christopher Nolan, etc. The panelists have edited or contributed to several books exploring such themes and will facilitate an open-forum discussion with the audience on any topic in this area that may interest them, from artificial intelligence, to ethical dilemmas, to the very nature of reality. Come prepared with musings or questions you've been pondering about your favorite sci-fi films and TV shows!",Discussion,Humanities,,21,Jason Eberl,55,Walter Robinson,,,,,,,
35,Star Trek Attack Wing Tabletop Demo,,Observation Lounge (Golden Preconvene),2017-11-25,10:00,120,"Star Trek: Attack Wing is a tactical space combat miniatures game, featuring collectible pre-painted ships from the Star Trek Universe. Utilizing the FlightPath™ maneuver system, command your fleet in space combat & customize your ship with a captain, crew, weapons and tech upgrades. Choose fleets from the Dominion, Federation, Klingon and Romulan factions based on abilities, maneuvers, upgrades and more. Take command of your ship or fleet, defeat your opponent and save the universe...",Gaming,,,56,Blue Moon Comics,,,,,,,,,
36,StarFleet Command Meeting,,Main Bridge (GB1-5),2017-11-25,10:00,120,"Participate in one of the oldest Star Trek fan clubs in existence (formed in 1974) as they celebrate the past year's success in fandom. You can meet members of local ships and hear about their activites that include fundraisers, science and science fiction based outings, and charity events of all kinds. The annual meeting includes reports from all departments, presentation of awards for outstanding achievement, and usually, a drawing or two. If you wish, you can stick around after the meeting to chat with the Admiralty Board and other Starfleet Command members.",,,,62,StarFleet Command,,,,,,,,,
37,Personal Genetic Testing: Health & Ancestry,,Guinan's Place (Brickyard),2017-11-25,11:00,60,"Personal genetic testing is more available than ever, thanks to companies like 23andMe. But what are the limits of what that testing can tell you? Find out!",Presentation,STEM,,39,Mohamed Noor,,,,,,,,,
38,Cookie Mining,,Holocenter (FS-C),2017-11-25,11:00,60,"The mining of our country’s natural resources is not just a simple matter of finding the desired ore and digging it up. Important economic and environmental considerations are involved in any mining venture. These include property costs, mining equipment costs, operational costs, and land reclamation costs. Fines for violations of environmental regulations may also be incurred. If a mining corporation is to make a profit, the value of the recovered ore must be greater than the sum of all of its mining costs plus any environmental fines. In this lab you will create a mining corporation and attempt to run a cookie mining operation that is both profitable and environmentally sound.",Workshop,STEM,,48,Sarah Gillard,,,,,,,,,
39,The Moxie Magnus Choose Your Own Adventure RPG! ,,Briefing Room (DR-2),2017-11-25,11:00,60,"You have been chosen for a quest! Strap yourself in folks as the room becomes a magical transport through time and space, taking us all on a quest to save the very existence of mankind! Moxie will guide you as you choose your path through dangers to gain amazing treasures! This is not your grandpappy’s dungeon crawl!",Gaming,,,40,Moxie Ann Magnus,,,,,,,,,
40,Klingon Linguistics,,tlhIngan rlvSo' (Intl Boardroom),2017-11-25,11:00,120,"Join the inventor of the Klingon language and an actor who had to speak it on stage for a conversation about the language, how it came to be, and how it affected the actors who incorporated it into their work.",Presentation,Klingon,STEM,34,Marc Okrand,44,Robert O'Reilly,,,,,,,
